"";"data";"stato";"ricoverati_con_sintomi";"terapia_intensiva";"totale_ospedalizzati";"isolamento_domiciliare";"totale_positivi";"variazione_totale_positivi";"nuovi_positivi";"dimessi_guariti";"deceduti";"totale_casi";"tamponi";"casi_testati";"note_it";"note_en";"Perc_totale_ospedalizzati";"Perc_nuovi_positivi";"Perc_terapia_intensiva";"Perc_deceduti";"Perc_tot_casi";"Perc_tamponi"
"1";2020-02-24;"ITA";101;26;127;94;221;0;221;1;7;229;4324;NA;"";"";NA;NA;NA;NA;NA;NA
"2";2020-02-25;"ITA";114;35;150;162;311;90;93;1;10;322;8623;NA;"";"";18,1102362204724;-57,9185520361991;34,6153846153846;42,8571428571429;40,6113537117904;99,4218316373728
"3";2020-02-26;"ITA";128;36;164;221;385;74;78;3;12;400;9587;NA;"";"";9,33333333333333;-16,1290322580645;2,85714285714285;20;24,223602484472;11,1794039197495
"4";2020-02-27;"ITA";248;56;304;284;588;203;250;45;17;650;12014;NA;"";"";85,3658536585366;220,512820512821;55,5555555555556;41,6666666666667;62,5;25,315531448837
"5";2020-02-28;"ITA";345;64;409;412;821;233;238;46;21;888;15695;NA;"";"";34,5394736842105;-4,8;14,2857142857143;23,5294117647059;36,6153846153846;30,6392542034293
"6";2020-02-29;"ITA";401;105;506;543;1049;228;240;50;29;1128;18661;NA;"";"";23,7163814180929;0,840336134453779;64,0625;38,0952380952381;27,027027027027;18,8977381331634
"7";2020-03-01;"ITA";639;140;779;798;1577;528;566;83;34;1694;21127;NA;"";"";53,9525691699605;135,833333333333;33,3333333333333;17,2413793103448;50,177304964539;13,2147258989336
"8";2020-03-02;"ITA";742;166;908;927;1835;258;342;149;52;2036;23345;NA;"";"";16,5596919127086;-39,5759717314488;18,5714285714286;52,9411764705882;20,1889020070838;10,498414351304
"9";2020-03-03;"ITA";1034;229;1263;1000;2263;428;466;160;79;2502;25856;NA;"";"";39,0969162995595;36,2573099415205;37,9518072289157;51,9230769230769;22,8880157170923;10,7560505461555
"10";2020-03-04;"ITA";1346;295;1641;1065;2706;443;587;276;107;3089;29837;NA;"";"";29,9287410926366;25,9656652360515;28,82096069869;35,4430379746835;23,4612310151878;15,3968131188119
"11";2020-03-05;"ITA";1790;351;2141;1155;3296;590;769;414;148;3858;32362;NA;"";"";30,4692260816575;31,0051107325383;18,9830508474576;38,3177570093458;24,8947879572677;8,46264704896604
"12";2020-03-06;"ITA";2394;462;2856;1060;3916;620;778;523;197;4636;36359;NA;"";"";33,3956095282578;1,17035110533159;31,6239316239316;33,1081081081081;20,16588906169;12,3509053828564
"13";2020-03-07;"ITA";2651;567;3218;1843;5061;1145;1247;589;233;5883;42062;NA;"pd-IT-0003";"pd-EN-0003";12,6750700280112;60,2827763496144;22,7272727272727;18,2741116751269;26,8981880931838;15,6852498693584
"14";2020-03-08;"ITA";3557;650;4207;2180;6387;1326;1492;622;366;7375;49937;NA;"";"";30,733374766936;19,6471531676022;14,6384479717813;57,0815450643777;25,3612102668706;18,7223622271884
"15";2020-03-09;"ITA";4316;733;5049;2936;7985;1598;1797;724;463;9172;53826;NA;"";"";20,0142619443784;20,4423592493298;12,7692307692308;26,5027322404372;24,3661016949152;7,78781264393136
"16";2020-03-10;"ITA";5038;877;5915;2599;8514;529;977;1004;631;10149;60761;NA;"pd-IT-0005";"pd-EN-0005";17,1519112695583;-45,6316082359488;19,6452933151432;36,2850971922246;10,6519843000436;12,8841080518708
"17";2020-03-11;"ITA";5838;1028;6866;3724;10590;2076;2313;1045;827;12462;73154;NA;"nd-IT-0002";"nd-EN-0002";16,0777683854607;136,745138178096;17,2177879133409;31,0618066561014;22,790422701744;20,3963068415596
"18";2020-03-12;"ITA";6650;1153;7803;5036;12839;2249;2651;1258;1016;15113;86011;NA;"";"";13,6469560151471;14,6130566364029;12,15953307393;22,8536880290205;21,272668913497;17,5752522076715
"19";2020-03-13;"ITA";7426;1328;8754;6201;14955;2116;2547;1439;1266;17660;97488;NA;"";"";12,1876201460976;-3,92304790645039;15,1777970511709;24,6062992125984;16,8530404287699;13,3436420922905
"20";2020-03-14;"ITA";8372;1518;9890;7860;17750;2795;3497;1966;1441;21157;109170;NA;"";"";12,9769248343614;37,2987828818218;14,3072289156627;13,8230647709321;19,80181200453;11,9830132939439
"21";2020-03-15;"ITA";9663;1672;11335;9268;20603;2853;3590;2335;1809;24747;124899;NA;"";"";14,6107178968655;2,65942236202459;10,1449275362319;25,5378209576683;16,9683792598194;14,4078043418522
"22";2020-03-16;"ITA";11025;1851;12876;10197;23073;2470;3233;2749;2158;27980;137962;NA;"nd-IT-0004;nd-IT-0006";"nd-EN-0004;nd-EN-0006";13,5950595500662;-9,94428969359331;10,7057416267943;19,2924267551133;13,0642098032085;10,4588507514071
"23";2020-03-17;"ITA";12894;2060;14954;11108;26062;2989;3526;2941;2503;31506;148657;NA;"nd-IT-0009";"nd-EN-0009";16,1385523454489;9,06278997834828;11,2911939492166;15,9870250231696;12,6018584703359;7,75213464577202
"24";2020-03-18;"ITA";14363;2257;16620;12090;28710;2648;4207;4025;2978;35713;165541;NA;"nd-IT-0012;nd-IT-0014";"nd-EN-0012;nd-EN-0014";11,1408318844456;19,3136698808849;9,56310679611649;18,9772273272073;13,3530121246747;11,357689177099
"25";2020-03-19;"ITA";15757;2498;18255;14935;33190;4480;5322;4440;3405;41035;182777;NA;"";"";9,8375451263538;26,5034466365581;10,6778910057599;14,3384822028207;14,9021364769132;10,4119221220121
"26";2020-03-20;"ITA";16020;2655;18675;19185;37860;4670;5986;5129;4032;47021;206886;NA;"";"";2,30073952341825;12,4765125892522;6,28502802241793;18,4140969162996;14,5875472157914;13,1903904758257
"27";2020-03-21;"ITA";17708;2857;20565;22116;42681;4821;6557;6072;4825;53578;233222;NA;"";"";10,1204819277108;9,53892415636486;7,60828625235406;19,6676587301587;13,9448331596521;12,7297158821767
"28";2020-03-22;"ITA";19846;3009;22855;23783;46638;3957;5560;7024;5476;59138;258402;NA;"";"";11,1354242645271;-15,2051242946469;5,32026601330067;13,4922279792746;10,377393706372;10,7965800824965
"29";2020-03-23;"ITA";20692;3204;23896;26522;50418;3780;4789;7432;6077;63927;275468;NA;"";"";4,5548020126887;-13,8669064748201;6,48055832502492;10,9751643535427;8,09800804897021;6,60443804614514
"30";2020-03-24;"ITA";21937;3396;25333;28697;54030;3612;5249;8326;6820;69176;296964;NA;"";"";6,01355875460328;9,60534558362916;5,99250936329587;12,2264275135758;8,21092808985249;7,80344722435999
"31";2020-03-25;"ITA";23112;3489;26601;30920;57521;3491;5210;9362;7503;74386;324445;NA;"";"";5,00532901748707;-0,742998666412653;2,73851590106007;10,0146627565982;7,53151381982191;9,25398364784957
"32";2020-03-26;"ITA";24753;3612;28365;33648;62013;4492;6153;10361;8165;80539;361060;NA;"pd-IT-0007";"pd-EN-0007";6,6313296492613;18,0998080614204;3,52536543422184;8,82313741170197;8,27171779635954;11,2854258811201
"33";2020-03-27;"ITA";26029;3732;29761;36653;66414;4401;5959;10950;9134;86498;394079;NA;"";"";4,92155825841707;-3,15293352836015;3,32225913621262;11,8677281077771;7,39889991184395;9,14501744862351
"34";2020-03-28;"ITA";26676;3856;30532;39533;70065;3651;5974;12384;10023;92472;429526;NA;"";"";2,59063875541816;0,251720087262974;3,32261521972133;9,73286621414495;6,90651806978195;8,99489696228422
"35";2020-03-29;"ITA";27386;3906;31292;42588;73880;3815;5217;13030;10779;97689;454030;NA;"pd-IT-0009";"pd-EN-0009";2,48919166775843;-12,6715768329428;1,29668049792531;7,54265190062855;5,64170776018686;5,7048933009876
